,Age(Years),Number of Subjects,Family size,Internet facility in your locality,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Performance in online
687,18,8,5,3,2,6,3,81-90,3,4,8
688,17,8,4,3,3,6,2,81-90,3,3,6
689,17,8,4,3,8,8,4,81-90,3,3,7
690,18,7,4,4,8,8,2,91-100,5,5,10
691,18,11,4,3,2,7,2,51-60,2,2,4
692,19,7,4,5,5,8,2,81-90,2,2,4
693,17,8,4,4,3,7,2,81-90,1,1,5
694,17,8,4,3,2,6,1,71-80,3,1,5
695,18,6,6,3,3,7,1,81-90,4,4,8
696,17,5,4,4,3,7,2,91-100,4,4,8
697,17,8,4,4,3,7,2,61-70,3,2,6
698,18,8,4,4,4,7,1,81-90,3,3,8
699,17,12,5,3,4,5,1,71-80,4,3,5
700,17,7,4,3,2,10,6,71-80,3,3,7
701,18,8,4,4,3,8,2,81-90,3,4,8
702,18,7,4,2,3,7,1,71-80,1,1,2
703,20,7,2,4,4,8,2,81-90,3,2,6
704,19,7,4,4,9,5,3,81-90,4,3,4
705,18,11,4,3,5,8,6,91-100,1,1,2
706,18,7,3,1,4,8,1,71-80,1,2,7
707,17,11,6,4,2,8,1,81-90,3,3,8
708,17,6,4,3,3,8,1,81-90,3,3,6
709,20,8,6,3,5,7,2,61-70,4,5,8
710,21,7,4,5,2,6,1,91-100,1,2,4
711,17,12,5,2,4,7,2,71-80,2,3,4
712,18,6,6,4,8,7,2,91-100,3,3,5
713,17,11,4,4,5,6,7,51-60,3,3,7
714,17,8,6,5,4,8,2,81-90,2,3,9
715,18,12,5,3,3,6,2,81-90,3,3,6
716,18,8,4,3,3,8,1,91-100,1,1,4
717,17,6,4,2,3,6,2,61-70,2,2,4
718,17,6,4,3,2,8,2,71-80,2,3,6
719,20,8,5,2,4,8,6,81-90,1,1,2
720,17,6,3,1,1,6,1,71-80,1,1,2
721,19,6,4,3,2,6,2,81-90,3,3,5
722,17,6,4,4,8,6,1,71-80,3,3,4
723,17,6,5,4,5,8,1,81-90,2,3,7
724,19,9,6,2,5,6,2,91-100,1,1,5
725,21,8,6,3,4,9,1,51-60,3,2,4
726,17,7,5,3,8,7,2,81-90,3,4,8
727,18,8,6,3,5,7,1,71-80,3,3,5
728,19,6,4,3,5,5,2,31-40,3,3,6
729,20,9,4,3,9,7,3,91-100,4,4,9
730,19,8,4,3,8,8,1,61-70,4,4,7
731,17,12,4,1,2,6,1,81-90,1,1,5
732,17,6,4,4,4,7,6,71-80,3,3,8
733,19,6,4,2,3,6,3,51-60,3,3,5
734,18,20,4,2,9,6,1,71-80,1,2,5
735,19,6,5,3,7,9,1,81-90,3,3,6
736,18,7,6,3,6,7,1,61-70,3,3,6
737,19,6,3,3,10,6,1,81-90,4,4,6
738,19,6,3,2,5,5,1,81-90,3,4,8
739,17,12,4,2,4,8,1,41-50,2,4,7
740,20,7,4,3,2,8,2,71-80,2,2,3
741,18,8,4,3,4,6,1,51-60,4,4,6
742,20,8,10,4,8,7,3,71-80,3,3,4
743,17,8,4,2,3,8,2,71-80,3,3,6
744,17,8,4,2,3,8,2,71-80,2,2,6
745,18,7,3,3,5,8,1,71-80,2,2,5
746,19,6,4,2,4,7,3,91-100,3,3,6
747,17,7,5,4,6,7,1,71-80,2,2,5
748,18,8,5,4,3,7,1,91-100,3,4,7
749,17,8,4,3,8,8,1,81-90,4,4,8
750,17,6,5,3,2,6,1,81-90,3,3,6
751,18,6,6,4,2,7,4,91-100,3,2,5
752,17,7,4,4,6,8,2,71-80,3,3,8
753,18,6,4,2,7,8,2,71-80,2,2,7
754,17,6,5,3,2,6,1,71-80,3,3,6
755,18,6,4,4,4,8,1,81-90,4,4,8
756,20,7,4,4,5,5,2,71-80,3,3,7
757,19,6,4,3,5,7,2,81-90,4,3,8
758,18,8,4,4,3,8,1,61-70,3,3,6
759,21,7,5,3,3,8,2,81-90,1,2,4
760,18,5,5,2,1,8,1,81-90,3,1,6
761,18,6,4,2,1,7,5,41-50,1,1,4
762,18,6,4,4,4,7,1,81-90,4,4,8
763,19,8,4,3,4,8,2,91-100,2,2,4
764,19,6,4,3,3,8,2,81-90,3,3,6
765,18,6,5,3,5,7,6,81-90,4,3,7
766,19,7,4,3,4,8,5,61-70,3,3,5
767,19,6,5,3,3,7,1,71-80,3,2,5
768,21,7,6,4,10,8,1,71-80,4,3,8
769,18,5,4,4,3,8,4,41-50,1,2,8
770,21,7,6,4,10,8,1,71-80,4,4,8
771,18,8,5,3,1,7,2,71-80,3,1,8
772,19,6,4,4,4,6,1,81-90,4,3,8
773,19,5,6,4,3,8,4,71-80,4,4,7
774,19,5,4,4,8,8,2,71-80,3,4,7
775,19,6,4,4,4,8,3,71-80,5,5,8
776,19,7,5,5,10,8,2,91-100,3,3,9
777,18,7,7,2,5,8,2,71-80,4,3,6
778,20,7,4,3,2,8,1,81-90,2,2,7
779,20,7,4,4,6,8,4,71-80,4,5,8
780,19,7,4,4,2,7,1,81-90,4,3,8
781,20,6,4,4,3,6,3,81-90,1,1,6
782,19,7,2,4,1,8,2,71-80,1,1,4
783,18,6,10,3,6,8,4,81-90,3,3,9
784,19,6,6,4,3,8,2,71-80,4,4,9
785,19,7,3,1,2,8,1,71-80,1,1,2
786,19,7,5,3,6,8,1,91-100,2,2,8
787,18,7,5,3,6,7,5,61-70,3,3,7
788,19,6,4,3,2,6,1,81-90,4,4,8
789,18,7,3,5,6,7,2,81-90,5,5,10
790,21,7,4,2,2,8,1,81-90,2,3,7
791,18,7,4,1,3,7,2,71-80,2,2,4
792,18,7,4,3,5,6,2,91-100,3,3,7
793,19,7,5,2,4,4,1,91-100,1,1,6
794,19,7,9,3,10,8,3,81-90,2,1,6
795,19,7,4,3,5,8,3,81-90,4,4,8
796,19,7,5,4,7,9,3,71-80,4,3,8
797,20,7,3,4,3,7,3,61-70,3,3,7
798,18,5,8,3,9,5,2,91-100,3,3,6
799,20,8,6,2,8,6,2,81-90,3,3,6
800,18,5,3,3,3,8,3,71-80,3,3,10
801,20,13,8,2,4,5,2,61-70,3,4,7
802,20,8,5,4,3,6,2,71-80,4,4,7
803,20,13,4,1,5,6,2,71-80,3,2,9
804,18,5,4,4,1,7,2,51-60,4,4,7
805,20,8,5,3,7,8,2,61-70,3,2,8
806,20,7,4,5,4,8,3,51-60,5,5,10
807,21,7,3,4,7,7,4,81-90,2,2,8
808,20,7,4,3,7,7,2,71-80,3,2,7
809,21,7,4,2,3,6,2,61-70,2,2,4
810,20,7,5,3,2,8,4,71-80,3,3,6
811,18,6,4,3,1,8,3,91-100,3,3,7
812,20,7,5,3,2,7,1,71-80,3,3,8
813,20,7,5,3,6,8,4,71-80,3,2,6
814,20,8,4,3,6,6,1,61-70,5,3,7
815,18,6,4,3,4,8,3,71-80,3,3,8
816,23,7,4,4,4,7,4,81-90,4,2,9
817,20,7,3,3,2,8,1,61-70,3,3,7
818,21,7,4,3,7,7,2,71-80,3,3,5
819,17,7,4,3,3,8,4,91-100,2,2,9
820,20,7,7,3,1,9,4,51-60,1,1,3
821,20,8,4,4,1,8,1,71-80,4,5,10
822,19,7,4,3,5,7,3,51-60,4,4,8
823,19,12,4,4,5,8,3,71-80,3,3,6
824,20,13,4,2,3,6,3,71-80,2,3,6
825,21,8,10,4,2,8,1,61-70,3,3,5
826,21,7,6,2,2,6,1,61-70,4,3,8
827,18,5,4,3,1,7,2,51-60,3,4,7
828,20,7,4,2,5,8,2,61-70,4,4,10
829,20,13,3,2,4,7,5,61-70,3,3,5
830,19,13,4,3,2,7,3,61-70,5,3,7
831,18,12,10,5,4,8,2,51-60,5,5,10
832,20,7,4,4,5,7,3,81-90,4,3,7
833,18,6,4,2,4,6,2,71-80,2,2,4
834,19,7,6,5,4,7,10,81-90,5,2,7
835,18,6,4,5,3,7,2,71-80,3,2,7
836,20,7,4,3,4,7,2,71-80,4,4,9
837,19,7,4,3,8,7,2,71-80,4,4,6
838,17,5,3,4,2,7,3,71-80,1,3,3
839,17,12,3,4,3,8,1,61-70,4,4,6
840,19,6,4,2,2,7,1,51-60,1,1,4
841,19,7,5,4,2,7,2,61-70,2,2,5
842,19,7,6,4,1,8,1,71-80,4,3,8
843,18,7,4,2,5,7,3,81-90,3,3,7
844,22,7,8,3,3,8,3,71-80,3,4,7
845,19,6,3,3,6,7,2,61-70,3,4,7
846,20,7,5,4,3,6,1,71-80,3,2,8
847,20,6,4,4,3,8,3,71-80,3,3,6
848,20,7,4,3,5,7,3,71-80,3,4,8
849,18,7,4,2,7,7,3,61-70,3,3,7
850,19,6,4,3,2,7,2,71-80,1,2,8
851,20,8,4,5,5,2,2,61-70,3,5,8
852,19,20,4,4,2,8,1,81-90,3,2,5
853,18,7,4,3,3,8,5,71-80,2,3,6
854,20,5,10,4,4,7,5,61-70,4,4,8
855,19,8,5,5,4,7,5,71-80,3,3,8
856,20,5,5,4,6,8,1,81-90,3,3,5
857,18,5,6,3,6,5,1,71-80,3,5,10
858,21,8,4,5,6,6,2,71-80,5,5,8
859,19,7,4,4,4,7,2,91-100,3,4,8
860,21,8,5,4,6,7,3,71-80,4,3,6
861,20,20,4,4,6,8,2,71-80,4,4,8
862,19,7,4,3,4,5,2,71-80,3,3,7
863,19,7,5,3,3,7,2,71-80,3,3,6
864,19,7,5,3,6,1,2,71-80,3,3,7
865,20,8,5,4,3,6,3,71-80,1,2,7
866,19,6,4,5,4,6,3,71-80,3,3,6
867,18,5,4,4,4,6,5,71-80,5,5,8
868,20,8,5,4,2,6,1,71-80,4,3,8
869,19,7,4,3,5,6,1,81-90,4,4,8
870,19,5,5,2,2,8,1,81-90,2,1,7
871,18,5,4,1,1,10,10,81-90,1,1,6
872,19,7,3,3,4,6,3,81-90,3,3,6
873,18,7,4,4,5,8,2,71-80,4,4,8
874,20,7,4,4,9,8,3,71-80,3,4,8
875,19,6,3,2,2,8,4,71-80,1,1,5
876,19,7,4,3,5,6,4,81-90,3,3,6
877,17,7,3,4,2,6,1,51-60,3,3,6
878,17,8,3,4,2,6,2,51-60,2,2,8
879,22,5,3,3,4,8,7,71-80,3,3,6
880,22,6,6,3,4,6,3,71-80,3,3,6
881,28,4,6,3,5,6,1,71-80,4,4,8
882,24,5,5,4,2,8,1,61-70,3,3,6
883,22,6,4,3,5,8,3,61-70,3,2,7
884,25,5,5,1,4,8,2,61-70,3,3,6
885,21,20,4,5,1,8,10,41-50,1,1,2
886,26,9,6,4,1,5,10,61-70,2,1,4
887,21,20,4,4,5,8,1,91-100,3,3,8
888,18,6,4,4,2,6,2,71-80,4,4,10
889,18,12,3,4,6,7,1,71-80,2,2,7
890,19,6,4,3,1,6,3,71-80,3,1,7
891,18,8,3,3,4,9,1,91-100,4,4,8
892,17,5,4,1,3,5,2,51-60,1,1,2
893,18,5,6,3,4,8,3,91-100,3,5,10
894,17,5,6,4,6,7,2,91-100,2,2,9
895,17,5,4,5,4,8,2,41-50,5,5,10
896,17,5,4,3,4,6,2,81-90,1,1,8
897,18,5,4,5,5,8,1,41-50,5,5,10
898,18,8,4,5,8,8,1,81-90,5,5,10
899,17,5,4,3,5,7,1,81-90,3,4,8
900,17,6,4,5,4,8,2,41-50,5,5,10
901,18,6,4,5,4,8,2,81-90,3,3,4
902,17,6,4,5,5,8,2,41-50,5,5,10
903,18,6,3,3,8,8,1,71-80,3,4,6
904,18,8,5,1,8,8,1,81-90,5,4,10
905,17,6,2,4,2,5,2,41-50,2,1,3
906,17,5,4,3,1,10,10,21-30,5,1,6
907,18,10,4,2,6,6,1,61-70,5,3,10
908,18,5,3,4,4,7,2,71-80,5,4,9
909,17,5,4,3,3,8,2,81-90,2,2,4
910,17,7,4,5,4,5,4,71-80,5,5,7
911,18,5,6,4,5,7,1,71-80,5,5,10
912,18,7,5,4,6,7,1,81-90,4,4,7
913,17,7,4,4,8,8,3,91-100,1,2,2
914,18,7,4,3,5,8,2,81-90,3,3,8
915,18,8,4,3,2,8,1,81-90,3,3,6
916,17,5,4,5,3,8,1,71-80,4,4,7
917,18,7,5,3,5,8,2,61-70,4,4,6
918,19,5,4,3,3,7,3,81-90,1,1,4
919,17,7,4,4,5,9,3,91-100,3,3,9
920,18,5,4,1,1,7,1,91-100,1,1,5
921,18,5,3,2,1,6,1,81-90,2,1,5
922,18,5,6,3,4,6,1,91-100,5,4,6
923,17,5,5,3,1,7,1,91-100,2,2,4
924,17,5,4,3,4,8,2,81-90,3,4,7
925,18,7,5,2,2,7,2,91-100,3,4,5
926,18,5,6,5,6,6,1,91-100,3,3,6
927,17,5,6,5,4,7,2,41-50,4,4,10
928,18,7,5,5,2,7,1,0-10,2,2,5
929,17,5,4,3,1,6,5,71-80,4,1,4
930,18,5,4,5,3,6,2,81-90,2,2,5
931,18,5,6,2,6,7,1,91-100,3,2,3
932,18,4,4,4,1,8,10,51-60,1,1,4
933,18,4,6,5,10,7,2,81-90,3,3,9
934,19,6,6,3,6,6,4,71-80,2,3,7
935,17,7,4,4,2,8,3,91-100,2,2,3
936,23,5,5,4,3,7,4,61-70,3,2,5
937,21,6,10,3,4,6,3,71-80,4,3,8
938,21,5,4,5,1,8,4,81-90,4,1,7
939,21,5,4,4,4,10,3,81-90,4,4,8
940,18,6,4,5,8,8,1,81-90,2,3,8
941,19,11,4,5,3,10,8,81-90,1,2,10
942,19,11,4,2,1,6,1,61-70,2,1,6
943,20,6,4,4,4,6,1,91-100,4,3,7
944,18,10,4,4,8,8,3,81-90,4,4,9
945,21,12,9,5,3,8,2,61-70,5,5,10
946,19,9,2,3,2,7,1,71-80,5,4,10
947,19,18,4,5,10,8,1,71-80,5,5,9
948,19,6,4,4,7,6,1,71-80,2,3,7
949,20,5,4,5,6,6,1,71-80,2,2,6
950,19,5,4,3,3,9,1,71-80,1,2,7
951,20,8,4,4,4,8,3,81-90,2,2,10
952,19,6,4,3,6,8,2,81-90,1,1,2
953,20,8,4,4,5,8,3,91-100,2,3,10
954,20,6,6,4,4,7,1,81-90,4,1,6
955,20,6,4,5,5,8,4,71-80,3,1,2
956,22,6,6,1,1,7,2,71-80,2,2,3
957,20,6,6,3,4,7,3,81-90,2,2,5
958,20,6,4,2,10,4,1,71-80,1,1,3
959,19,6,4,3,4,8,4,81-90,1,1,4
960,22,6,4,3,4,10,5,81-90,4,3,8
961,22,6,4,4,5,5,3,71-80,2,1,8
962,19,6,4,3,1,10,10,31-40,1,2,2
963,21,6,6,3,4,6,2,81-90,1,1,6
964,19,5,4,5,1,8,5,81-90,2,1,5
965,18,7,6,5,4,6,7,81-90,4,5,10
966,18,1,4,4,6,8,1,91-100,1,1,6
967,19,11,4,3,7,7,5,81-90,1,1,9
968,19,18,5,5,4,7,2,91-100,2,2,8
969,18,11,4,3,3,8,5,81-90,3,3,6
970,19,6,4,3,4,7,4,91-100,1,1,2
971,20,7,5,5,4,7,3,91-100,5,5,9
972,20,6,4,3,2,10,2,91-100,2,1,4
973,20,6,4,1,4,7,1,91-100,1,1,2
974,21,5,5,3,3,8,2,91-100,2,2,5
975,20,10,4,4,1,8,2,81-90,3,3,9
976,18,5,5,4,5,6,2,81-90,4,3,9
977,20,6,4,3,2,9,3,71-80,3,2,7
978,20,6,4,5,2,10,4,91-100,2,1,8
979,30,2,8,5,4,6,2,71-80,3,3,7
980,21,7,4,3,7,8,1,61-70,3,3,6
981,19,12,4,4,3,6,1,81-90,4,4,8
982,21,6,5,3,5,8,6,71-80,3,2,7
983,20,7,5,4,2,5,1,81-90,3,1,3
984,21,7,5,5,6,8,1,71-80,5,5,10
985,20,7,4,5,4,8,2,51-60,5,5,9
986,20,5,4,4,5,6,2,61-70,3,2,8
987,20,6,4,4,3,7,4,71-80,4,3,8
988,19,7,4,4,6,7,4,81-90,2,3,6
989,17,5,5,4,5,6,1,81-90,3,3,7
990,19,5,4,4,5,9,5,91-100,3,2,7
991,22,4,4,3,3,7,1,71-80,3,4,4
992,21,5,3,3,1,8,2,51-60,3,4,6
993,21,6,4,3,3,7,1,61-70,3,3,4
994,21,4,4,3,5,7,2,71-80,4,4,9
995,23,5,2,3,8,8,2,71-80,2,2,5
996,22,3,5,2,3,8,1,81-90,5,5,10
997,34,8,6,3,2,7,1,71-80,3,3,7
998,32,3,4,3,2,8,1,71-80,2,2,4
999,39,4,4,5,5,7,1,61-70,5,5,7
1000,20,2,3,3,1,7,3,11-20,1,1,2
1001,39,7,4,5,6,8,2,81-90,5,5,10
1002,26,5,5,2,4,9,7,81-90,1,2,4
1003,40,5,4,3,7,7,7,61-70,3,3,6
1004,35,3,4,5,3,4,1,91-100,5,5,10
1005,34,2,3,4,7,6,2,71-80,5,5,10
1006,29,3,3,3,3,9,2,71-80,3,4,7
1007,40,9,5,5,5,7,6,21-30,5,4,9
1008,37,2,4,3,2,7,1,71-80,4,3,6
1009,40,5,3,4,6,5,5,41-50,4,4,9
1010,36,2,6,4,2,5,1,51-60,4,4,8
1011,25,3,4,5,2,5,7,41-50,3,3,5
1012,40,2,2,5,2,8,3,71-80,5,5,10
1013,36,6,7,4,7,7,7,51-60,4,4,8
1014,40,7,4,4,3,7,1,91-100,3,2,7
1015,40,2,3,5,2,9,1,51-60,3,3,6
1016,21,5,5,2,5,8,2,41-50,3,2,6
1017,20,3,3,2,4,6,2,71-80,3,3,5
1018,20,3,3,5,4,6,2,71-80,2,2,4
1019,21,6,3,2,5,6,1,71-80,3,3,7
1020,20,3,6,4,2,7,2,81-90,4,3,7
1021,20,3,4,4,2,7,1,71-80,1,1,8
1022,21,3,4,5,2,7,2,51-60,4,4,8
1023,19,5,4,2,8,7,4,71-80,4,4,8
1024,20,5,6,3,8,7,4,71-80,4,4,8
1025,21,6,4,5,6,6,3,71-80,5,5,10
1026,21,6,5,5,8,7,5,71-80,5,5,10
1027,20,3,4,4,4,6,1,71-80,3,3,5
1028,19,3,6,5,4,8,4,91-100,4,4,8
1029,20,6,3,1,3,7,2,71-80,5,5,10
1030,20,3,3,2,3,6,3,71-80,2,2,6
1031,19,6,2,3,4,6,2,61-70,3,3,6
1032,20,6,4,3,5,7,1,81-90,5,4,10
